"REVENUE_BOB";"CATEGORY2";"CATEGORY4";"CLICK_DATE";"CLICK_HOUR";"RN"
19317496;"Sociomantic";"1294241744";29/05/14;7;1
32437496;"Criteo";"1294241712";01/06/14;21;2
42713366;"Criteo";"1294241712";31/05/14;7;3
42713366;"Criteo";"1294241712";31/05/14;11;4
42713366;"Criteo";"1294241712";31/05/14;11;5
42713366;"Criteo";"1294241712";01/06/14;0;6
61713366;"Criteo";"1294241712";31/05/14;20;7
91713366;"Criteo";"1294241712";31/05/14;14;8
91713366;"Criteo";"1294241712";31/05/14;14;9
48173366;"Criteo";"1294241712";21/05/14;20;10
25173366;"Criteo";"1294241712";30/05/14;17;11
73173366;"Remarketing Campaigns";"1294241860";31/05/14;23;12
57373366;"Criteo";"1294241712";31/05/14;20;13
57373366;"Criteo";"1294241712";01/06/14;0;14
57373366;"Criteo";"1294241712";01/06/14;0;15
31373366;"Criteo";"1294241712";31/05/14;23;16
31373366;"Criteo";"1294241712";01/06/14;0;17
31373366;"Criteo";"1294241712";31/05/14;22;18
48173366;"Criteo";"1294241712";17/05/14;16;19
65713366;"Remarketing Campaigns";"1294241860";08/05/14;12;20
48173366;"Criteo";"1294241712";11/05/14;21;21
71713366;"Criteo";"1294241712";18/04/14;0;22
57373366;"Remarketing Campaigns";"1294241860";31/05/14;21;23
75373366;"Remarketing Campaigns";"1294241860";18/05/14;21;24
31373366;"Criteo";"1294241712";31/05/14;22;25
31373366;"Remarketing Campaigns";"1294241860";31/05/14;23;26
63373366;"Criteo";"1294241712";07/05/14;21;27
63373366;"Remarketing Campaigns";"1294241860";14/05/14;11;28
44453366;"Criteo";"1294241712";08/05/14;18;29
44453366;"Criteo";"1294241712";08/05/14;18;30
44453366;"Criteo";"1294241712";08/05/14;18;31
44453366;"Criteo";"1294241712";08/05/14;18;32
44453366;"Criteo";"1294241712";08/05/14;18;33
44453366;"Sociomantic";"1294241744";09/05/14;20;34
44453366;"Sociomantic";"1294241744";08/05/14;9;35
44453366;"Sociomantic";"1294241744";08/05/14;9;36
44453366;"Criteo";"1294241712";09/05/14;0;37
44453366;"Criteo";"1294241712";09/05/14;0;38
44453366;"Criteo";"1294241712";09/05/14;12;39
44453366;"Sociomantic";"1294241744";09/05/14;12;40
44453366;"Sociomantic";"1294241744";09/05/14;19;41
44453366;"Criteo";"1294241712";09/05/14;19;42
44453366;"Sociomantic";"1294241744";09/05/14;20;43
44453366;"Criteo";"1294241712";09/05/14;20;44
44453366;"Criteo";"1294241712";01/06/14;0;45
51253366;"Criteo";"1294241712";24/05/14;21;46
86953366;"Criteo";"1294241712";28/05/14;20;47
86953366;"Criteo";"1294241712";28/05/14;20;48
76953366;"Criteo";"1294241712";31/05/14;14;49
44453366;"Criteo";"1294241712";15/05/14;19;50
44453366;"Sociomantic";"1294241744";09/05/14;20;51
44453366;"Criteo";"1294241712";10/05/14;20;52
44453366;"Criteo";"1294241712";12/05/14;11;53
44453366;"Criteo";"1294241712";15/05/14;12;54
44453366;"Criteo";"1294241712";15/05/14;19;55
44453366;"Criteo";"1294241712";15/05/14;19;56
44453366;"Criteo";"1294241712";31/05/14;20;57
44453366;"Criteo";"1294241712";31/05/14;20;58
44453366;"Criteo";"1294241712";31/05/14;20;59
44453366;"Criteo";"1294241712";31/05/14;21;60
44453366;"Criteo";"1294241712";31/05/14;21;61
44453366;"Criteo";"1294241712";31/05/14;22;62
61453366;"Criteo";"1294241712";31/05/14;14;63
61453366;"Criteo";"1294241712";31/05/14;18;64
61453366;"Criteo";"1294241712";01/06/14;0;65
68253366;"Criteo";"1294241712";18/05/14;21;66
68253366;"Remarketing Campaigns";"1294241860";22/05/14;13;67
68253366;"Criteo";"1294241712";22/05/14;17;68
27253366;"Remarketing Campaigns";"1294241860";11/05/14;17;69
27253366;"Remarketing Campaigns";"1294241860";31/05/14;22;70
51253366;"Criteo";"1294241712";26/04/14;21;71
51253366;"Criteo";"1294241712";31/05/14;21;72
51253366;"Criteo";"1294241712";01/06/14;0;73
43653366;"Remarketing Campaigns";"1294241860";01/06/14;0;74
44953366;"Criteo";"1294241712";16/05/14;13;75
44953366;"Criteo";"1294241712";16/05/14;19;76
86953366;"Criteo";"1294241712";28/05/14;20;77
86953366;"Criteo";"1294241712";28/05/14;20;78
86953366;"Criteo";"1294241712";28/05/14;20;79
86953366;"Criteo";"1294241712";28/05/14;20;80
86953366;"Criteo";"1294241712";30/05/14;17;81
76953366;"Criteo";"1294241712";28/05/14;17;82
76953366;"Criteo";"1294241712";29/05/14;20;83
76953366;"Remarketing Campaigns";"1294241860";29/05/14;22;84
37953366;"Remarketing Campaigns";"1294241860";31/05/14;22;85
92853366;"Remarketing Campaigns";"1294241860";25/05/14;19;86
92853366;"Remarketing Campaigns";"1294241860";31/05/14;11;87
88853366;"Criteo";"1294241712";30/05/14;16;88
88853366;"Criteo";"1294241712";01/06/14;1;89
18853366;"Remarketing Campaigns";"1294241860";31/05/14;20;90
61453366;"Criteo";"1294241712";31/05/14;18;91
68253366;"Criteo";"1294241712";12/05/14;18;92
71253366;"Remarketing Campaigns";"1294241923";29/04/14;15;93
71253366;"Criteo";"1294241712";09/05/14;18;94
51253366;"Criteo";"1294241712";26/04/14;21;95
43653366;"Remarketing Campaigns";"1294241860";16/05/14;18;96
43653366;"Remarketing Campaigns";"1294241860";16/05/14;23;97
44953366;"Criteo";"1294241712";21/04/14;12;98
44953366;"Criteo";"1294241712";22/04/14;19;99
44953366;"Remarketing Campaigns";"1294241860";13/05/14;23;100
86953366;"Criteo";"1294241712";28/05/14;20;101
86953366;"Criteo";"1294241712";28/05/14;20;102
76953366;"Criteo";"1294241712";27/05/14;18;103
76953366;"Criteo";"1294241712";28/05/14;17;104
76953366;"Remarketing Campaigns";"1294241860";28/05/14;23;105
76953366;"Criteo";"1294241712";30/05/14;15;106
22853366;"Criteo";"1294241712";26/05/14;11;107
92853366;"Remarketing Campaigns";"1294241860";25/05/14;0;108
92853366;"Remarketing Campaigns";"1294241860";25/05/14;0;109
92853366;"Remarketing Campaigns";"1294241860";28/05/14;22;110
79853366;"Criteo";"1294241712";22/04/14;22;111
79853366;"Criteo";"1294241712";23/04/14;13;112
19853366;"Criteo";"1294241712";25/05/14;14;113
67853366;"Criteo";"1294241712";31/05/14;23;114
91853366;"Criteo";"1294241712";28/05/14;22;115
26753366;"Criteo";"1294241712";31/05/14;0;116
58753366;"Criteo";"1294241712";01/06/14;0;117
27753366;"Criteo";"1294241712";14/05/14;11;118
27753366;"Criteo";"1294241712";31/05/14;19;119
27753366;"Remarketing Campaigns";"1294241860";01/06/14;1;120
83553366;"Criteo";"1294241712";01/06/14;1;121
91853366;"Criteo";"1294241712";13/05/14;19;122
88753366;"Criteo";"1294241712";30/05/14;18;123
88753366;"Criteo";"1294241712";31/05/14;12;124
27753366;"Criteo";"1294241712";02/05/14;3;125
27753366;"Criteo";"1294241712";03/05/14;14;126
27753366;"Criteo";"1294241712";06/05/14;10;127
73753366;"Remarketing Campaigns";"1294241849";15/05/14;21;128
73753366;"Criteo";"1294241712";25/05/14;21;129
53753366;"Remarketing Campaigns";"1294241860";01/06/14;1;130
93553366;"Criteo";"1294241712";01/06/14;1;131
24153366;"Remarketing Campaigns";"1294241860";01/06/14;1;132
16553366;"Criteo";"1294241712";27/05/14;1;133
25553366;"Criteo";"1294241712";18/04/14;18;134
83553366;"Criteo";"1294241712";01/06/14;1;135
49153366;"Criteo";"1294241712";01/06/14;2;136
19153366;"Remarketing Campaigns";"1294241860";01/06/14;1;137
81153366;"Remarketing Campaigns";"1294241849";22/05/14;18;138
25153366;"Criteo";"1294241712";01/06/14;1;139
65153366;"Criteo";"1294241712";28/05/14;22;140
33153366;"Criteo";"1294241712";29/04/14;0;141
33153366;"Criteo";"1294241712";29/04/14;0;142
33153366;"Criteo";"1294241712";31/05/14;21;143
44353366;"Criteo";"1294241712";01/06/14;2;144
86413366;"Criteo";"1294241712";01/06/14;1;145
36613366;"Criteo";"1294241712";01/06/14;6;146
94353366;"Criteo";"1294241712";20/05/14;1;147
24153366;"Remarketing Campaigns";"1294241923";12/05/14;21;148
25153366;"Remarketing Campaigns";"1294241860";28/05/14;17;149
33153366;"Sociomantic";"1294241744";06/05/14;0;150
94353366;"Criteo";"1294241712";20/05/14;0;151
94353366;"Criteo";"1294241712";20/05/14;0;152
94353366;"Criteo";"1294241712";20/05/14;1;153
36353366;"Criteo";"1294241712";25/05/14;1;154
41353366;"Criteo";"1294241712";01/06/14;2;155
22413366;"Criteo";"1294241712";25/05/14;1;156
46413366;"Criteo";"1294241712";01/06/14;3;157
46413366;"Criteo";"1294241712";01/06/14;3;158
66413366;"Criteo";"1294241712";31/05/14;1;159
69413366;"Remarketing Campaigns";"1294241860";01/06/14;3;160
98413366;"Criteo";"1294241712";29/05/14;20;161
98413366;"Criteo";"1294241712";01/06/14;2;162
18413366;"Criteo";"1294241712";31/05/14;23;163
77413366;"Sociomantic";"1294241744";01/06/14;3;164
54213366;"Criteo";"1294241712";01/06/14;4;165
58213366;"Criteo";"1294241712";01/06/14;4;166
38213366;"Criteo";"1294241712";01/06/14;4;167
43213366;"Criteo";"1294241712";01/06/14;1;168
88213366;"Criteo";"1294241712";01/06/14;4;169
57213366;"Criteo";"1294241712";01/06/14;3;170
15213366;"Criteo";"1294241712";01/06/14;4;171
63213366;"Remarketing Campaigns";"1294241860";31/05/14;1;172
63213366;"Remarketing Campaigns";"1294241860";01/06/14;5;173
64613366;"Criteo";"1294241712";01/06/14;5;174
99613366;"Remarketing Campaigns";"1294241860";31/05/14;4;175
99613366;"Remarketing Campaigns";"1294241860";01/06/14;2;176
99613366;"Remarketing Campaigns";"1294241902";01/06/14;6;177
59613366;"Criteo";"1294241712";29/05/14;5;178
47613366;"Criteo";"1294241712";01/06/14;6;179
91613366;"Criteo";"1294241712";28/05/14;20;180
91613366;"Criteo";"1294241712";28/05/14;20;181
91613366;"Criteo";"1294241712";28/05/14;21;182
91613366;"Remarketing Campaigns";"1294241860";30/05/14;17;183
81613366;"Criteo";"1294241712";01/06/14;7;184
71613366;"Remarketing Campaigns";"1294241860";31/05/14;6;185
54913366;"Criteo";"1294241712";01/06/14;7;186
54913366;"Criteo";"1294241712";01/06/14;7;187
54913366;"Criteo";"1294241712";01/06/14;7;188
14913366;"Criteo";"1294241712";01/06/14;7;189
42913366;"Criteo";"1294241712";01/06/14;7;190
72913366;"Criteo";"1294241712";01/06/14;7;191
17913366;"Criteo";"1294241712";31/05/14;18;192
85913366;"Criteo";"1294241712";29/05/14;20;193
44813366;"Criteo";"1294241712";01/06/14;8;194
24813366;"Criteo";"1294241712";31/05/14;21;195
54813366;"Criteo";"1294241712";30/05/14;7;196
36353366;"Criteo";"1294241712";22/05/14;22;197
29353366;"Remarketing Campaigns";"1294241923";14/05/14;21;198
22413366;"Criteo";"1294241712";21/05/14;20;199
22413366;"Criteo";"1294241712";21/05/14;20;200
54213366;"Criteo";"1294241712";08/05/14;1;201
54213366;"Criteo";"1294241712";08/05/14;2;202
