transactionId;partner;totalValue
99996296;Criteo;169.9
99992496;Triggit;149.9
99979296;Criteo;86.27
99978496;Criteo;199.9
99974496;Triggit;40.77
99972296;Triggit;369.7
99966296;Criteo;260.7
99953496;Criteo;389.8
99934496;Criteo;87.52
99928496;Criteo;429.9
99926296;Criteo;56.27
99923496;Criteo;119.9
99919296;Criteo;179.8
99916496;Criteo;129.9
99898296;Criteo;635.9
99889496;Sociomantic;169.9
99869296;Criteo;249.9
99864296;Criteo;82.83
99863496;Criteo;189.9
99859296;Criteo;344.9
99839496;Criteo;512.73
99837296;Triggit;139.9
99834496;Criteo;119.9
99831496;Criteo;203.7
99822296;Criteo;186.99
99817496;Criteo;70.81
99814296;Criteo;129.9
99798496;Criteo;149.9
99795296;Criteo;656.91
99785496;Criteo;44.81
99774296;Triggit;292.8
99757496;Criteo;44.81
99754496;Criteo;259.9
99752496;Criteo;109.9
99752296;Criteo;119.9
99744296;Criteo;219.9
99737296;Criteo;189.9
99736296;Criteo;150.8
99726496;Criteo;109.9
99717296;Vizury;86.83
99669296;Criteo;34.9
99665496;Criteo;667.5
99654496;Criteo;558.0
99653496;Criteo;199.9
99644296;Criteo;144.8
99642496;Triggit;254.9
99642296;Criteo;261.24
99638496;Criteo;249.0
99619496;Criteo;199.99
99613366;My Things;86.03
99596496;Triggit;139.9
99596296;Criteo;89.81
99593496;Criteo;127.7
99588496;Criteo;164.9
99574496;Triggit;149.99
99573366;Criteo;345.9
99568496;Criteo;129.9
99566296;Criteo;213.7
99564496;Triggit;144.9
99562496;Criteo;369.8
99555496;Criteo;119.9
99548496;Criteo;159.9
99535496;Criteo;189.73
99526496;Criteo;409.6
99519496;Criteo;92.81
99515496;Criteo;144.95
99514296;Criteo;249.9
99495496;Criteo;84.81
99492496;Criteo;459.8
99491496;Sociomantic;454.8
99488296;Triggit;140.8
99487496;Triggit;138.73
99475496;Criteo;150.0
99459296;Criteo;102.9
99455496;Criteo;74.81
99454296;Criteo;437.4
99448496;Criteo;119.9
99448296;Criteo;99.81
99434496;Criteo;64.81
99433496;Criteo;149.9
99416496;Vizury;69.73
99414296;Triggit;129.9
99412496;Criteo;172.8
99399496;Criteo;409.7
99398296;Criteo;76.81
99393496;Triggit;189.9
99375496;Criteo;149.9
99374496;Triggit;609.5
99373496;Vizury;103.8
99372496;Criteo;179.9
99371496;Criteo;222.8
99368296;Criteo;398.8
99364496;Triggit;299.9
99346296;Criteo;99.9
99342496;Criteo;139.9
99329496;Criteo;179.0
99328496;Criteo;129.9
99326496;Triggit;349.0
99318496;Criteo;159.9
99318296;Criteo;219.8
99316296;Sociomantic;464.79
99312296;Criteo;109.9
99293496;Criteo;139.8
99292296;Triggit;139.9
99291496;Criteo;119.9
99274496;Criteo;139.9
99267296;Criteo;174.7
99248296;Criteo;159.9
99247296;Criteo;298.0
99234496;Triggit;111.73
99233366;Criteo;219.9
99219296;Criteo;159.9
99216496;Criteo;268.73
99192496;Criteo;96.81
99191496;Criteo;179.0
99186496;Criteo;159.9
99174296;Criteo;296.0
99166296;Criteo;144.95
99163496;Criteo;199.99
99156296;Triggit;72.73
99147496;Criteo;294.95
99146496;Criteo;297.78
99145296;Criteo;99.9
99141496;Criteo;66.05
99134296;Criteo;219.9
98994496;Mainadv;36.81
98989496;Triggit;347.73
98964496;Criteo;129.9
98962296;Triggit;119.9
98943496;Criteo;151.7
98938496;Criteo;119.8
98924296;Triggit;279.9
98921496;Triggit;118.83
98913366;Criteo;297.0
98898496;Triggit;128.73
98891496;Criteo;119.7
98885496;Mainadv;211.7
98882296;Triggit;159.9
98858296;Criteo;144.95
98825296;Criteo;94.81
98818496;Criteo;169.0
98814296;Criteo;68.73
98788296;Criteo;329.7
98787496;Criteo;169.9
98782496;Triggit;257.5
98765296;Criteo;279.8
98748496;Criteo;499.9
98748296;Criteo;259.8
98746296;Criteo;119.0
98738496;Vizury;46.81
98729296;Criteo;149.9
98722296;Criteo;79.73
98717496;Criteo;138.73
98717296;Triggit;44.81
98712496;Criteo;59.9
98697496;Criteo;126.8
98682296;Criteo;265.83
98653496;Criteo;52.81
98645296;Criteo;209.9
98644496;Criteo;361.33
98637296;Criteo;149.9
98625496;Criteo;109.9
98622496;Criteo;119.8
98617296;Mainadv;159.9
98616496;Criteo;109.9
98599496;Criteo;177.4
98592496;Criteo;72.73
98585496;Criteo;102.83
98583496;Criteo;88.73
98573496;Criteo;64.81
98564296;Triggit;399.0
98553496;Criteo;311.3
98551496;Criteo;142.6
98546496;Triggit;297.0
98539296;Criteo;56.81
98538496;Triggit;299.0
98535496;Criteo;168.73
98528296;Criteo;179.99
98527496;Vizury;119.8
98525296;Triggit;169.9
98521496;Criteo;199.9
